NAME,AFFGEOID,FIPS3,ALAND,AWATER,TotPop,Births,Deaths,NetMigrt,NatInc,MedHInc,TotVote,PCTOBM,PCTROM,PCTOTH,Winner,TotU18,Tot18_64,TotOv65,TotMale,TotFemale,TotOv25,NumHS,NumBach,Hisp,NumPov,PctPov,CentX,CentY,Region
Adams,0500000US08001,8001,3023271310,41765940,490829,7361,2957,5898,4404,57421,172191,58.4519516,41.2170206,0.003310278,Obama,128235,288017,40577,229034,227795,286675,84296,62454,175022,64599,0.131612028,556637.8791,4414001.526,FrontRange
Alamosa,0500000US08003,8003,1871620060,1847609,16008,215,128,48,87,31400,6548,58.2009774,41.3103238,0.004886988,Obama,3910,9248,1867,7264,7761,8949,2251,2199,6855,4192,0.261869065,430376.5795,4158717.945,Mountain
Arapahoe,0500000US08005,8005,2066625076,19498045,630564,8130,3744,7085,4386,62213,280147,54.9372294,44.8293217,0.002334489,Obama,147430,380553,63823,290643,301163,393650,81051,155388,109738,68985,0.109402059,556689.6817,4389155.843,FrontRange
Archuleta,0500000US08007,8007,3496919043,13827548,12384,118,104,139,14,48186,6574,40.7514451,58.8986918,0.003498631,Romney,2182,7439,2367,6037,5951,8955,2404,3187,2176,1327,0.107154393,318211.9122,4118320.302,WestSlope
Baca,0500000US08009,8009,6617316188,6142193,3596,32,56,1,-24,38625,2045,22.8361858,76.2347188,0.009290954,Romney,795,1966,854,1770,1845,2586,806,432,348,588,0.163515017,716173.6991,4133066.857,GreatPlain
Bent,0500000US08011,8011,3918305859,73093279,5841,42,55,113,-13,39053,1899,42.9173249,56.6087414,0.004739336,Romney,970,2080,778,1949,1879,2793,836,336,1320,703,0.120356103,669412.4701,4202558.542,GreatPlain
Boulder,0500000US08013,8013,1881212055,36592000,319177,2857,1787,4535,1070,69407,175334,71.3444055,28.5061654,0.001494291,Obama,62603,199969,32692,148011,147253,193949,24461,113484,40242,43057,0.134900071,469504.4297,4438083.162,FrontRange
Broomfield,0500000US08014,8014,85478497,1411781,64788,671,358,2841,313,80430,32051,52.9343858,46.8253721,0.002402421,Obama,14821,37507,6331,29067,29592,39229,5894,19528,6737,3717,0.057371736,495500.2322,4422668.396,FrontRange
Chaffee,0500000US08015,8015,2624707749,4008555,18604,138,203,203,-65,48528,10190,49.9116781,49.7546614,0.003336605,Obama,2866,10105,4009,8521,8459,13157,3379,4851,1288,1480,0.079552784,396252.9796,4289350.583,Mountain
Cheyenne,0500000US08017,8017,4605714129,8166134,1846,29,19,-23,10,53900,1067,16.1199625,83.3177132,0.005623243,Romney,565,1306,228,1036,1063,1343,424,297,322,182,0.098591549,708038.3378,4300441.607,GreatPlain
Clear Creek,0500000US08019,8019,1023554877,3279667,9328,62,60,169,2,68531,5563,56.0668704,43.6814668,0.002516628,Obama,1427,6059,1458,4581,4363,6996,1510,2890,412,828,0.088765009,444749.3466,4393459.878,FrontRange
Conejos,0500000US08021,8021,3334118523,9235291,8050,116,93,-193,23,37357,4059,54.5208179,45.2081794,0.002710027,Obama,2253,4578,1347,4038,4140,5244,1789,1068,4448,1522,0.189068323,394261.8107,4117817.487,WestSlope
Costilla,0500000US08023,8023,3177806137,8828906,3578,29,34,27,-5,33594,1804,74.2793792,24.7228381,0.009977827,Obama,728,1983,867,1885,1693,2613,728,476,2320,893,0.249580771,462024.3704,4125779.843,Mountain
Crowley,0500000US08025,8025,2039409698,33430385,5539,42,34,7,8,31534,1467,36.4689843,62.9856851,0.005453306,Romney,810,2619,583,2011,2001,2543,835,368,1156,1137,0.20527171,606246.9523,4242742.791,GreatPlain
Custer,0500000US08027,8027,1913033446,3364761,4464,26,34,108,-8,32261,2665,32.5703565,67.0919325,0.003377111,Romney,618,2397,1205,2143,2077,3397,755,1189,130,746,0.167114695,467784.8326,4217940.525,Mountain
Delta,0500000US08029,8029,2958007403,16886462,29950,271,380,59,-109,42389,15596,29.6358041,69.9858938,0.003783021,Romney,6240,16288,6643,14313,14858,20901,7507,4128,4122,4738,0.158196995,251558.8834,4305291.202,WestSlope
Denver,0500000US08031,8031,397136421,4225831,683096,9365,4316,13594,5049,51800,295536,75.1238428,24.7384413,0.001377159,Obama,132028,423966,65212,310361,310845,435311,77800,192440,194592,113930,0.166784756,510607.7433,4401361.506,FrontRange
Dolores,0500000US08033,8033,2763872222,2716141,1953,19,13,3,6,32578,1200,27.8333333,71.5833333,0.005833333,Romney,329,1001,398,909,819,1311,460,285,119,347,0.177675371,190077.2155,4184135.677,WestSlope
Douglas,0500000US08035,8035,2176213467,6752511,322017,3376,1253,5145,2123,102626,165727,36.8642406,62.9933565,0.001424029,Romney,87545,185685,25503,148014,150719,192297,26144,107746,23587,12240,0.038010416,506060.0254,4353356.56,FrontRange
Eagle,0500000US08037,8037,4362874440,18843976,53580,642,110,103,532,73774,22227,57.5516264,42.3403968,0.001079768,Obama,11995,36272,3576,27941,23902,35528,6494,16823,15504,5166,0.096416573,354507.4276,4387818.036,Mountain
Fremont,0500000US08043,8043,3970640129,2235368,46559,381,544,383,-163,40569,19967,33.5753994,65.9788651,0.004457355,Romney,7655,19688,8367,17110,18600,25713,8234,5466,2266,6274,0.134753753,461654.0652,4258400.719,Mountain
Garfield,0500000US08045,8045,7634486761,21422730,58082,767,340,171,427,57214,23895,47.311153,52.4586734,0.002301737,Romney,14830,35497,5278,28345,27260,36469,8710,10823,15582,6503,0.111962398,250503.003,4387430.825,WestSlope
Gilpin,0500000US08047,8047,388228973,942056,5819,39,34,103,5,65851,3246,58.2871226,41.4664202,0.002464572,Obama,1188,3795,523,2810,2696,4143,902,1239,440,568,0.097611273,455308.4368,4412078.349,FrontRange
Grand,0500000US08049,8049,4782244665,59902382,14615,113,75,112,38,64109,7963,46.2639709,53.409519,0.003265101,Romney,2970,9622,1803,7764,6631,10385,2731,3791,1090,1736,0.118782073,404697.4795,4439739.878,Mountain
Gunnison,0500000US08051,8051,8389606575,53067068,16145,138,77,287,61,51371,8408,59.9904853,39.7359657,0.00273549,Obama,2868,10205,1478,7899,6652,9714,1628,5294,1214,2570,0.159182409,323221.8642,4281717.495,WestSlope
Hinsdale,0500000US08053,8053,2893561630,15324686,767,7,6,-7,1,55682,586,39.0784983,60.2389078,0.006825939,Romney,112,476,283,404,467,750,142,310,19,65,0.084745763,297530.8579,4188432.532,WestSlope
Huerfano,0500000US08055,8055,4120807998,5792101,6474,55,103,96,-48,32932,3613,54.0548021,45.5577083,0.003874896,Obama,1065,3475,1636,2963,3213,4698,1297,1429,2169,1224,0.189063948,503478.95,4170829.831,Mountain
Jackson,0500000US08057,8057,4179536193,18750017,1352,12,10,-36,2,45606,821,26.3093788,73.0816078,0.006090134,Romney,282,810,285,746,631,1049,380,185,247,203,0.150147929,386531.9569,4502568.534,Mountain
Jefferson,0500000US08059,8059,1979311263,25444831,565230,5838,4398,4608,1440,69698,304114,52.3803574,47.4154429,0.002041997,Obama,115767,348956,72526,265730,271519,377077,79786,156594,79196,47009,0.083167914,478476.4641,4381826.841,FrontRange
